Traffic Intensity (ρ),Packets in Buffer,Idle Time,Packet Loss,Generated Packets,Arrivals,Departs,Observations,E[N],Pidle,Ploss
0.5,1257688,622776,0,250634,250634,250634,1250702,1.0055856630916078,0.49794115624665186,0.0
0.6,2225149,602391,0,299215,299215,299215,1498381,1.4850355149991892,0.4020279221372935,0.0
0.7,4058089,522200,7,350331,350324,350324,1747794,2.321834838659476,0.2987766292823983,1.9981103584895426e-05
0.8,7794105,401436,257,399864,399607,399607,2000439,3.8961972846960093,0.20067395206752117,0.0006427185242982614
0.9,16143058,243118,3509,451075,447566,447566,2248713,7.178798717310746,0.10811428581593116,0.007779194147314748
1,31740221,95156,20134,500389,480255,480255,2498740,12.702490455189416,0.03808159312293396,0.04023669585062821
1.1,48100869,25101,55480,550258,494778,494778,2754001,17.465813919457545,0.009114375775462681,0.10082543097964955
1.2,60642079,5850,101291,600928,499637,499637,3001149,20.206287325287747,0.0019492534359340373,0.16855763086426329
1.3,70540138,1269,148688,649749,501061,501061,3249472,21.708184591219744,0.00039052498375120637,0.22883913634341876
1.4,78738016,385,199838,699756,499918,499918,3499393,22.50047822579516,0.00011001908045195267,0.28558240300904886
1.5,86351955,40,251512,751095,499583,499583,3752885,23.00948603541009,1.0658466752911427e-05,0.3348604370951744
